plantSp,animalSp,method,total.int,PIE
Rhamnus lycioides,Sylvia borin,BC,9.24,6.0934e-4
Rhamnus lycioides,Turdus merula,BC,11.556000000000001,7.6207e-4
Rhamnus lycioides,Turdus torquatus,BC,3,1.9784e-4
Rubia peregrina,Chloris chloris,BC,2,1.3189e-4
Rubia peregrina,Curruca communis,BC,13,8.573e-4
Rubia peregrina,Curruca hortensis,BC,3,1.9784e-4
Rubia peregrina,Curruca iberiae,BC,2,1.3189e-4
Rubia peregrina,Curruca melanocephala,BC,151,0.00995785
Rubia peregrina,Cyanopica cooki,BC,10,6.5946e-4
Rubia peregrina,Erithacus rubecula,BC,27,0.00178054
Rubia peregrina,Mus spretus,BC,4,2.6378e-4
Rubia peregrina,Sylvia atricapilla,BC,81,0.00534163
Rubia peregrina,Sylvia borin,BC,6,3.9568e-4
Rubia peregrina,Turdus merula,BC,12,7.9135e-4
Rubia peregrina,Turdus philomelos,BC,1,6.595e-5
Rubus ulmifolius,Alectoris rufa,BC,4,2.6378e-4
Rubus ulmifolius,Apodemus sylvaticus,BC,2.9250000000000003,1.9289e-4
Rubus ulmifolius,Arvicola sapidus,BC,0.012000000000000004,7.9e-7
Rubus ulmifolius,Cervus elaphus,BC,1.175,7.749e-5
Rubus ulmifolius,Chloris chloris,BC,1,6.595e-5
Rubus ulmifolius,Columba palumbus,BC,1,6.595e-5
Rubus ulmifolius,Curruca communis,BC,70.544,0.00465209
Rubus ulmifolius,Curruca hortensis,BC,3,1.9784e-4
Rubus ulmifolius,Curruca melanocephala,BC,63.56000000000002,0.00419153
Rubus ulmifolius,Curruca undata,BC,2.383,1.5715e-4
Rubus ulmifolius,Cyanistes caeruleus,BC,1,6.595e-5
Rubus ulmifolius,Cyanopica cooki,BC,21,0.00138487
Rubus ulmifolius,Erithacus rubecula,BC,7.589999999999999,5.0053e-4
Rubus ulmifolius,Hippolais polyglotta,BC,0.008,5.3e-7
Rubus ulmifolius,Locustella naevia,BC,0.001,7e-8
Rubus ulmifolius,Luscinia megarhynchos,BC,13.111,8.6462e-4
Rubus ulmifolius,Mus spretus,BC,2.5,1.6487e-4
Rubus ulmifolius,Muscicapa striata,BC,0.147,9.69e-6
Rubus ulmifolius,Parus major,BC,2,1.3189e-4
Rubus ulmifolius,Passer hispaniolensis,BC,0.05,3.3e-6
Rubus ulmifolius,Phoenicurus phoenicurus,BC,1.482,9.773e-5
Rubus ulmifolius,Phylloscopus trochilus,BC,0.01,6.6e-7
Rubus ulmifolius,Psammodromus algirus,BC,2,1.3189e-4
Rubus ulmifolius,Rattus rattus,BC,4.175,2.7532e-4
Rubus ulmifolius,Saxicola rubicola,BC,3.14,2.0707e-4
Rubus ulmifolius,Sturnus unicolor,BC,32,0.00211027
Rubus ulmifolius,Sturnus vulgaris,BC,12,7.9135e-4
Rubus ulmifolius,Sylvia atricapilla,BC,7.7219999999999995,5.0924e-4
Rubus ulmifolius,Sylvia borin,BC,8.848,5.8349e-4
Rubus ulmifolius,Turdus merula,BC,37.556,0.00247667
Rubus ulmifolius,Turdus torquatus,BC,0.962,6.344e-5
Ruscus aculeatus,Turdus merula,BC,2,1.3189e-4
Smilax aspera,Cervus elaphus,BC,2,1.3189e-4
Smilax aspera,Chloris chloris,BC,3,1.9784e-4
Smilax aspera,Curruca melanocephala,BC,3,1.9784e-4
Smilax aspera,Cyanopica cooki,BC,33,0.00217622
Smilax aspera,Erithacus rubecula,BC,29,0.00191243
Smilax aspera,Phoenicurus phoenicurus,BC,2,1.3189e-4
Smilax aspera,Saxicola rubicola,BC,2,1.3189e-4
Smilax aspera,Sturnus unicolor,BC,4,2.6378e-4
Smilax aspera,Sturnus vulgaris,BC,4,2.6378e-4
Smilax aspera,Sturnus vulgaris/unicolor,BC,1,6.595e-5
Smilax aspera,Sylvia atricapilla,BC,128,0.00844109
Smilax aspera,Sylvia borin,BC,11,7.2541e-4
Smilax aspera,Turdus merula,BC,126,0.0083092
Smilax aspera,Turdus philomelos,BC,19,0.00125297
Vitis vinifera,Curruca communis,BC,2,1.3189e-4
Vitis vinifera,Curruca hortensis,BC,1,6.595e-5
Vitis vinifera,Curruca melanocephala,BC,3,1.9784e-4
Vitis vinifera,Cyanistes caeruleus,BC,2,1.3189e-4
Vitis vinifera,Cyanopica cooki,BC,10,6.5946e-4
Vitis vinifera,Ficedula hypoleuca,BC,2,1.3189e-4
Vitis vinifera,Fringilla coelebs,BC,1,6.595e-5
Vitis vinifera,Mus spretus,BC,1,6.595e-5
Vitis vinifera,Oriolus oriolus,BC,6,3.9568e-4
Vitis vinifera,Sturnus vulgaris,BC,17,0.00112108
Vitis vinifera,Sturnus vulgaris/unicolor,BC,67,0.00441838
Vitis vinifera,Sylvia atricapilla,BC,37,0.00244
Vitis vinifera,Sylvia borin,BC,34,0.00224216
Vitis vinifera,Turdus merula,BC,27,0.00178054
Asparagus acutifolius,Curruca melanocephala,MIST-NET,2.8,7.5349e-4
Asparagus acutifolius,Erithacus rubecula,MIST-NET,1.3,3.4983e-4
Asparagus acutifolius,Sylvia atricapilla,MIST-NET,14.5,0.00390201
Asparagus acutifolius,Sylvia borin,MIST-NET,0.3,8.074e-5
Asparagus acutifolius,Turdus merula,MIST-NET,0.05,1.345e-5
Asparagus spp,Curruca melanocephala,MIST-NET,4,0.00437091
Asparagus spp,Sylvia atricapilla,MIST-NET,3,0.00327818
Asparagus spp,Sylvia borin,MIST-NET,1,0.00109273
Corema album,Curruca melanocephala,MIST-NET,2,0.00218545
Crataegus monogyna,Sylvia atricapilla,MIST-NET,1.8,6.54e-4
Crataegus monogyna,Turdus merula,MIST-NET,0.9,2.422e-4
Crataegus monogyna,Turdus philomelos,MIST-NET,2.1,5.6512e-4
Daphne gnidium,Curruca communis,MIST-NET,1.1,2.9601e-4
Daphne gnidium,Curruca iberiae,MIST-NET,2.5,6.7276e-4
Daphne gnidium,Curruca melanocephala,MIST-NET,13.85,0.00268717
Daphne gnidium,Erithacus rubecula,MIST-NET,0.5,1.3455e-4
Daphne gnidium,Phoenicurus phoenicurus,MIST-NET,0.05,1.345e-5
Daphne gnidium,Phylloscopus trochilus,MIST-NET,0.05,1.345e-5
Daphne gnidium,Sylvia atricapilla,MIST-NET,79.6,0.01276939
Daphne gnidium,Sylvia borin,MIST-NET,51.9,0.0139665
Daphne gnidium,Turdus merula,MIST-NET,2,5.3821e-4
Dioscorea communis,Curruca melanocephala,MIST-NET,0.15,4.036e-5
Dioscorea communis,Cyanopica cooki,MIST-NET,3,8.0731e-4
Dioscorea communis,Sylvia borin,MIST-NET,2,5.3821e-4
Dioscorea communis,Turdus merula,MIST-NET,7,0.00188373
Lonicera periclymenum,Curruca melanocephala,MIST-NET,0.7,1.8837e-4
Lonicera periclymenum,Ficedula hypoleuca,MIST-NET,0.2,5.382e-5
Lonicera periclymenum,Sylvia atricapilla,MIST-NET,1.5,4.0366e-4
Lonicera periclymenum,Sylvia borin,MIST-NET,2.3,6.1894e-4
Lonicera periclymenum,Turdus merula,MIST-NET,1.05,2.8256e-4
Myrtus communis,Curruca iberiae,MIST-NET,0.05,1.345e-5
Myrtus communis,Curruca melanocephala,MIST-NET,4,0.00136183
Myrtus communis,Curruca undata,MIST-NET,0.3,8.074e-5
Myrtus communis,Cyanopica cooki,MIST-NET,2.6,0.00117346
Myrtus communis,Erithacus rubecula,MIST-NET,27.4,0.00409854
Myrtus communis,Sylvia atricapilla,MIST-NET,44.6,0.01423723
Myrtus communis,Sylvia borin,MIST-NET,1,0.00109273
Myrtus communis,Turdus merula,MIST-NET,7.1,0.00177894
Myrtus communis,Turdus philomelos,MIST-NET,3.8,0.0010226
Olea europaea,Curruca melanocephala,MIST-NET,3.7,9.0965e-4
Olea europaea,Cyanistes caeruleus,MIST-NET,1.1,2.9601e-4
Olea europaea,Erithacus rubecula,MIST-NET,32.25,0.00475111
Olea europaea,Phylloscopus collybita,MIST-NET,0.15,4.036e-5
Olea europaea,Sylvia atricapilla,MIST-NET,157.65,0.0282129
Olea europaea,Sylvia borin,MIST-NET,0.75,2.0182e-4
Olea europaea,Turdus iliacus,MIST-NET,0.7,1.8837e-4
Olea europaea,Turdus merula,MIST-NET,30.05,0.00808657
Olea europaea,Turdus philomelos,MIST-NET,19.7,0.00530135
Osyris alba,Curruca melanocephala,MIST-NET,0.4,1.0764e-4
Osyris alba,Sylvia atricapilla,MIST-NET,0.6,1.6146e-4
Osyris alba,Sylvia borin,MIST-NET,1.2,3.2292e-4
Phillyrea angustifolia,Curruca communis,MIST-NET,6.5,0.0012864
Phillyrea angustifolia,Curruca hortensis,MIST-NET,3,8.0731e-4
Phillyrea angustifolia,Curruca iberiae,MIST-NET,4.4,0.00100384
Phillyrea angustifolia,Curruca melanocephala,MIST-NET,29,0.00966736
Phillyrea angustifolia,Cyanopica cooki,MIST-NET,1,0.00109273
Phillyrea angustifolia,Erithacus rubecula,MIST-NET,2.2,0.00111964
Phillyrea angustifolia,Ficedula hypoleuca,MIST-NET,0.7,1.8837e-4
Phillyrea angustifolia,Phoenicurus phoenicurus,MIST-NET,1,0.00109273
Phillyrea angustifolia,Phylloscopus collybita,MIST-NET,0.1,2.691e-5
Phillyrea angustifolia,Sylvia atricapilla,MIST-NET,232.7,0.09061099
Phillyrea angustifolia,Sylvia borin,MIST-NET,120,0.01944072
Phillyrea angustifolia,Turdus merula,MIST-NET,38.75,0.00603751
Phillyrea angustifolia,Turdus philomelos,MIST-NET,0.2,5.382e-5
Pistacia lentiscus,Curruca communis,MIST-NET,19.05,0.00338684
Pistacia lentiscus,Curruca hortensis,MIST-NET,8.75,0.00235466
Pistacia lentiscus,Curruca iberiae,MIST-NET,22.6,0.0038645
Pistacia lentiscus,Curruca melanocephala,MIST-NET,414.7,0.11015773
Pistacia lentiscus,Curruca undata,MIST-NET,13.2,0.0021879
Pistacia lentiscus,Cyanistes caeruleus,MIST-NET,1.05,2.8256e-4
Pistacia lentiscus,Cyanopica cooki,MIST-NET,14,0.00270735
Pistacia lentiscus,Erithacus rubecula,MIST-NET,336.8,0.05396513
Pistacia lentiscus,Ficedula hypoleuca,MIST-NET,40.9,0.01100635
Pistacia lentiscus,Luscinia megarhynchos,MIST-NET,4.95,0.00133206
Pistacia lentiscus,Muscicapa striata,MIST-NET,10.8,0.00290633
Pistacia lentiscus,Parus major,MIST-NET,1,2.6911e-4
Pistacia lentiscus,Phoenicurus ochruros,MIST-NET,3,8.0731e-4
Pistacia lentiscus,Phoenicurus phoenicurus,MIST-NET,10,0.00175733
Pistacia lentiscus,Phylloscopus collybita,MIST-NET,0.2,5.382e-5
Pistacia lentiscus,Regulus ignicapilla,MIST-NET,0.05,1.345e-5
Pistacia lentiscus,Saxicola rubicola,MIST-NET,0.05,1.345e-5
Pistacia lentiscus,Sylvia atricapilla,MIST-NET,1589.6,0.33783885
Pistacia lentiscus,Sylvia borin,MIST-NET,366.5,0.05672589
Pistacia lentiscus,Turdus merula,MIST-NET,115.5,0.01636437
Pistacia lentiscus,Turdus philomelos,MIST-NET,13.5,0.0036329
Pyrus bourgaeana,Sylvia atricapilla,MIST-NET,0.8,2.1528e-4
Rhamnus lycioides,Aegithalos caudatus,MIST-NET,1,0.00109273
Rhamnus lycioides,Curruca communis,MIST-NET,5.2,0.00111148
Rhamnus lycioides,Curruca iberiae,MIST-NET,2.5,6.7276e-4
Rhamnus lycioides,Curruca melanocephala,MIST-NET,75.75,0.02089939
Rhamnus lycioides,Cyanopica cooki,MIST-NET,1,0.00109273
Rhamnus lycioides,Erithacus rubecula,MIST-NET,3.1,8.3423e-4
Rhamnus lycioides,Ficedula hypoleuca,MIST-NET,1.6,4.3057e-4
Rhamnus lycioides,Luscinia megarhynchos,MIST-NET,0.65,1.7492e-4
Rhamnus lycioides,Muscicapa striata,MIST-NET,1.05,2.8256e-4
Rhamnus lycioides,Phoenicurus phoenicurus,MIST-NET,0.5,1.3455e-4
Rhamnus lycioides,Sylvia atricapilla,MIST-NET,24.6,0.00454541
Rhamnus lycioides,Sylvia borin,MIST-NET,86.7,0.01248928
Rhamnus lycioides,Turdus merula,MIST-NET,6.75,0.00132004
Rubia peregrina,Curruca melanocephala,MIST-NET,2,0.00218545
Rubia peregrina,Sylvia atricapilla,MIST-NET,59.2,0.02526153
Rubia peregrina,Sylvia borin,MIST-NET,36.05,0.00814509
Rubia peregrina,Turdus merula,MIST-NET,0.05,1.345e-5
Rubus ulmifolius,Curruca communis,MIST-NET,0.7,1.8837e-4
Rubus ulmifolius,Curruca conspicillata,MIST-NET,0.05,1.345e-5
Rubus ulmifolius,Curruca hortensis,MIST-NET,0.4,1.0764e-4
Rubus ulmifolius,Curruca iberiae,MIST-NET,0.9,2.422e-4
Rubus ulmifolius,Curruca melanocephala,MIST-NET,10.45,0.0026415
Rubus ulmifolius,Cyanopica cooki,MIST-NET,0.3,8.074e-5
Rubus ulmifolius,Erithacus rubecula,MIST-NET,0.5,1.3455e-4
Rubus ulmifolius,Luscinia megarhynchos,MIST-NET,0.2,5.382e-5
Rubus ulmifolius,Muscicapa striata,MIST-NET,0.2,5.382e-5
Rubus ulmifolius,Phoenicurus phoenicurus,MIST-NET,2.4,6.4585e-4
Rubus ulmifolius,Phylloscopus trochilus,MIST-NET,0.1,2.691e-5
Rubus ulmifolius,Sylvia atricapilla,MIST-NET,24.6,0.01072257
Rubus ulmifolius,Sylvia borin,MIST-NET,26.4,0.00890571
Rubus ulmifolius,Turdus merula,MIST-NET,10.4,0.00181115
Smilax aspera,Curruca hortensis,MIST-NET,0.05,1.345e-5
Smilax aspera,Curruca melanocephala,MIST-NET,2.05,5.5167e-4
Smilax aspera,Erithacus rubecula,MIST-NET,0.8,2.1528e-4
Smilax aspera,Ficedula hypoleuca,MIST-NET,0.1,2.691e-5
Smilax aspera,Sylvia atricapilla,MIST-NET,37.9,0.01457117
Smilax aspera,Sylvia borin,MIST-NET,12.7,0.00253243
Smilax aspera,Turdus merula,MIST-NET,1.1,2.9601e-4
Solanum nigrum,Curruca melanocephala,MIST-NET,1,0.00109273
Solanum nigrum,Sylvia atricapilla,MIST-NET,3,0.00327818
Asparagus acutifolius,Curruca melanocephala,OBS,1,2.4699e-4
Asparagus acutifolius,Sylvia atricapilla,OBS,2,4.9398e-4
Corema album,Turdus merula,OBS,1,0.00114268
Crataegus monogyna,Cyanopica cooki,OBS,8,0.00197592
Crataegus monogyna,Sylvia atricapilla,OBS,1,2.4699e-4
Crataegus monogyna,Turdus merula,OBS,5,0.00123495
Crataegus monogyna,Turdus philomelos,OBS,3,7.4097e-4
Daphne gnidium,Curruca melanocephala,OBS,4,9.8796e-4
Daphne gnidium,Parus major,OBS,1,2.4699e-4
Daphne gnidium,Sylvia atricapilla,OBS,1,2.4699e-4
Daphne gnidium,Sylvia borin,OBS,3,7.4097e-4
Juniperus phoenicea,Turdus iliacus,OBS,77,0.08798638
Juniperus phoenicea,Turdus merula,OBS,68,0.07770226
Juniperus phoenicea,Turdus philomelos,OBS,267,0.30509564
Juniperus phoenicea,Turdus pilaris,OBS,2,0.00228536
Juniperus phoenicea,Turdus torquatus,OBS,1,0.00114268
Juniperus phoenicea,Turdus viscivorus,OBS,5,0.0057134
Lonicera periclymenum,Turdus merula,OBS,2,4.9398e-4
Myrtus communis,Cyanopica cooki,OBS,14,0.00345786
Myrtus communis,Sylvia atricapilla,OBS,21,0.00518679
Myrtus communis,Turdus merula,OBS,4,9.8796e-4
Myrtus communis,Turdus philomelos,OBS,5,0.00123495
Olea europaea,Alectoris rufa,OBS,2,4.9398e-4
Olea europaea,Chloris chloris,OBS,23,0.00568077
Olea europaea,Coccothraustes coccothraustes,OBS,3,7.4097e-4
Olea europaea,Columba palumbus,OBS,18,0.00444582
Olea europaea,Coloeus monedula,OBS,3,7.4097e-4
Olea europaea,Curruca melanocephala,OBS,1,2.4699e-4
Olea europaea,Cyanopica cooki,OBS,42,0.01037358
Olea europaea,Erithacus rubecula,OBS,2,4.9398e-4
Olea europaea,Fringilla coelebs,OBS,3,7.4097e-4
Olea europaea,Sturnus unicolor,OBS,5,0.00123495
Olea europaea,Sylvia atricapilla,OBS,107,0.02642793
Olea europaea,Turdus iliacus,OBS,14,0.00345786
Olea europaea,Turdus merula,OBS,53,0.01309047
Olea europaea,Turdus philomelos,OBS,96,0.02371104
Olea europaea,Turdus viscivorus,OBS,1,2.4699e-4
Osyris alba,Turdus merula,OBS,5,0.00123495
Osyris lanceolata,Turdus iliacus,OBS,1,0.00114268
Osyris lanceolata,Turdus merula,OBS,3,0.00342804
Osyris lanceolata,Turdus philomelos,OBS,10,0.0114268
Phillyrea angustifolia,Curruca communis,OBS,1,2.4699e-4
Phillyrea angustifolia,Curruca melanocephala,OBS,7,0.00172893
Phillyrea angustifolia,Saxicola rubetra,OBS,1,2.4699e-4
Phillyrea angustifolia,Sylvia borin,OBS,2,4.9398e-4
Phillyrea angustifolia,Turdus merula,OBS,6,0.0020845
Pistacia lentiscus,Alectoris rufa,OBS,6,0.00148194
Pistacia lentiscus,Chloris chloris,OBS,224,0.05532576
Pistacia lentiscus,Columba palumbus,OBS,35,0.00864465
Pistacia lentiscus,Curruca communis,OBS,4,9.8796e-4
Pistacia lentiscus,Curruca iberiae,OBS,1,2.4699e-4
Pistacia lentiscus,Curruca melanocephala,OBS,168,0.04149432
Pistacia lentiscus,Cyanopica cooki,OBS,137,0.03383763
Pistacia lentiscus,Emberiza calandra,OBS,21,0.00518679
Pistacia lentiscus,Erithacus rubecula,OBS,117,0.02889783
Pistacia lentiscus,Ficedula hypoleuca,OBS,2,4.9398e-4
Pistacia lentiscus,Fringilla coelebs,OBS,32,0.00790368
Pistacia lentiscus,Muscicapa striata,OBS,1,2.4699e-4
Pistacia lentiscus,Parus major,OBS,2,4.9398e-4
Pistacia lentiscus,Passer domesticus,OBS,15,0.00370485
Pistacia lentiscus,Phoenicurus ochruros,OBS,5,0.00123495
Pistacia lentiscus,Phoenicurus phoenicurus,OBS,8,0.00197592
Pistacia lentiscus,Phylloscopus collybita,OBS,2,4.9398e-4
Pistacia lentiscus,Saxicola rubetra,OBS,2,4.9398e-4
Pistacia lentiscus,Saxicola rubicola,OBS,3,7.4097e-4
Pistacia lentiscus,Sturnus unicolor,OBS,47,0.01160853
Pistacia lentiscus,Sturnus vulgaris,OBS,16,0.00395184
Pistacia lentiscus,Sylvia atricapilla,OBS,313,0.07730787
Pistacia lentiscus,Sylvia borin,OBS,25,0.00617475
Pistacia lentiscus,Turdus iliacus,OBS,13,0.0032108699999999998
Pistacia lentiscus,Turdus merula,OBS,87,0.02148813
Pistacia lentiscus,Turdus philomelos,OBS,113,0.02790987
Pyrus bourgaeana,Corvus corax,OBS,2,4.9398e-4
Pyrus bourgaeana,Coloeus monedula,OBS,2,4.9398e-4
Pyrus bourgaeana,Cyanopica cooki,OBS,65,0.01605435
Pyrus bourgaeana,Sylvia atricapilla,OBS,2,4.9398e-4
Pyrus bourgaeana,Turdus merula,OBS,4,9.8796e-4
Rhamnus lycioides,Curruca communis,OBS,2,4.9398e-4
Rhamnus lycioides,Curruca iberiae,OBS,1,2.4699e-4
Rhamnus lycioides,Curruca melanocephala,OBS,4,9.8796e-4
Rhamnus lycioides,Cyanopica cooki,OBS,9,0.00222291
Rhamnus lycioides,Turdus merula,OBS,6,0.00118881
Rubia peregrina,Curruca melanocephala,OBS,2,4.9398e-4
Rubia peregrina,Sylvia atricapilla,OBS,1,2.4699e-4
Rubus ulmifolius,Curruca communis,OBS,2,4.9398e-4
Rubus ulmifolius,Curruca iberiae,OBS,4,9.8796e-4
Rubus ulmifolius,Curruca melanocephala,OBS,2,4.9398e-4
Rubus ulmifolius,Cyanopica cooki,OBS,8,0.00197592
Rubus ulmifolius,Sylvia borin,OBS,18,0.00444582
Rubus ulmifolius,Turdus merula,OBS,25,0.00617475
Smilax aspera,Sylvia atricapilla,OBS,5,0.00123495
Smilax aspera,Turdus merula,OBS,2,4.9398e-4
