plantSp,animalSp,meanPIE,maxPIE,n_methods
Olea europaea,Chloris chloris,0.0033689833368947936,0.00192629417953244,1
Arbutus unedo,Fringilla coelebs,0.0033323802616861257,0.0019053655243042329,1
Juniperus macrocarpa,Sus scrofa,0.003219416007542458,0.0018407755980587872,1
Pistacia lentiscus,Emberiza calandra,0.0030760282641213335,0.0017587903378339668,1
Frangula alnus,Sylvia borin,0.0029974965204542584,0.0017138879962053345,1
Frangula alnus,Curruca melanocephala,0.0028634671135009367,0.0016372535814034095,1
Olea europaea,Erithacus rubecula,0.0013809061659410236,0.0016110554624317428,4
Pistacia lentiscus,Curruca undata,0.0019193129685810366,0.0015815071309899739,3
Asparagus spp,Oryctolagus cuniculus,0.0027110887249054204,0.0015501277117609023,1
Rhamnus lycioides,Sylvia atricapilla,0.0014206108951247622,0.0015413045813487515,2
Pistacia lentiscus,Curruca communis,0.0015470670475347483,0.0015381239140441407,4
Olea europaea,Columba palumbus,0.0014060515060066027,0.0015075345752862573,3
Vitis vinifera,Sturnus vulgaris/unicolor,0.002620322349975306,0.0014982299366041122,1
Smilax aspera,Rattus rattus,0.002598124470761753,0.0014855377855154568,1
Asparagus spp,Curruca communis,0.0013881532427240748,0.0014532428223927342,2
Pistacia lentiscus,Sturnus vulgaris,0.0013869196977397257,0.0013400307335877841,2
Rubus ulmifolius,Saxicola rubicola,0.0012192643289534245,0.0013240663608051532,2
Asparagus acutifolius,Sylvia atricapilla,0.0013035249401920437,0.0013231338623949528,2
Pistacia lentiscus,Curruca iberiae,0.0010356677634463028,0.001310414584079819,3
Rubus ulmifolius,Cyanistes caeruleus,0.0011491716935206227,0.0012917713976824303,2
Pistacia lentiscus,Passer domesticus,0.0021971630458009522,0.0012562788127385477,1
Lonicera periclymenum,Curruca communis,0.00219403173930222,0.001254488415790963,1
Lonicera periclymenum,Curruca melanocephala,0.0011269441617834082,0.0012248383572498996,2
Chamaerops humilis,Cervus elaphus,0.002089797188124716,0.0011948898992175721,1
Myrtus communis,Cyanopica cooki,0.0010850095628202692,0.0011725268918893112,3
Olea europaea,Turdus iliacus,7.396288282119696e-4,0.0011725268918893112,3
Smilax aspera,Apodemus/Mus,0.0020333150610528823,0.0011625949360948495,1
Osyris lanceolata,Turdus merula,0.0011034178495097874,0.0011624152182194288,2
Myrtus communis,Apodemus/Mus,0.0019768329339810487,0.0011302999729721267,1
Ruscus aculeatus,Rattus rattus,0.0019768329339810487,0.0011302999729721267,1
Solanum nigrum,Sylvia atricapilla,0.0019441262003815987,0.001111599141218471,1
Arbutus unedo,Erithacus rubecula,0.0019203567374139474,0.0010980084007527137,1
Pistacia lentiscus,Turdus iliacus,0.001904207973027492,0.0010887749710400746,1
Juniperus macrocarpa,Vulpes vulpes,0.001863874610342114,0.001065713437629991,1
Asparagus spp,Cyanopica cooki,0.001799030471597529,0.0010286373008404224,1
Daphne gnidium,Curruca melanocephala,0.001304586500539152,9.915815094707129e-4,3
Pistacia lentiscus,Muscicapa striata,7.184450653076658e-4,9.85508401642826e-4,3
Phillyrea angustifolia,Curruca communis,8.737590537457432e-4,9.78814758509242e-4,3
Ficus carica,Sturnus vulgaris,0.0016895237017128788,9.660242712246019e-4,1
Phillyrea angustifolia,Sturnus unicolor,0.0016425896872602865,9.39188662430689e-4,1
